Time:                Temperature (C):   Altitude (m):  
-------------------------------------------------------------
2009:16:22:36:42           -17.75074     223.62879
2009:16:22:36:42           -17.73823     373.54072
2009:16:22:36:42           -17.67177     556.47121
2009:16:22:36:43           -17.65794     920.28550
2009:16:22:36:43           -17.56496    1306.68899
2009:16:22:36:43           -17.50547    1413.87784
2009:16:22:36:43           -17.45388    1779.17682
2009:16:22:36:44           -17.43048    1919.52121
2009:16:22:36:44           -17.42905    2334.03353
2009:16:22:36:44           -17.32685    2925.76837
2009:16:22:36:44           -17.26963    3926.16632
2009:16:22:36:45           -17.25793    4255.23734
2009:16:22:36:45           -16.92694    4376.21971
2009:16:22:36:45           -16.91994    4423.53635
2009:16:22:36:45           -16.90613    4572.02271
2009:16:22:36:46           -16.85007    4652.07169
2009:16:22:36:46           -16.74306    4720.91609
2009:16:22:36:46           -16.72036    4803.84863
2009:16:22:36:46           -16.59831    4811.26246
2009:16:22:36:47           -16.29128    4949.56926
2009:16:22:36:47           -16.09345    5180.08215
2009:16:22:36:47           -15.83657    5284.61269
2009:16:22:36:48           -15.74205    5484.89560
2009:16:22:36:48           -15.72525    6327.71437
2009:16:22:36:48           -15.66602    6675.92243
2009:16:22:36:48           -15.57380    6825.31858
2009:16:22:36:49           -15.52822    7283.83831
2009:16:22:36:49           -15.22787    7337.71134
2009:16:22:36:49           -15.16743    7347.40123
2009:16:22:36:49           -14.98146    7358.90243
2009:16:22:36:50           -14.92179    7436.80078
2009:16:22:36:50           -14.87801    8101.89596
2009:16:22:36:50           -14.84435    8377.23983
2009:16:22:36:50           -14.73154    8631.16228
2009:16:22:36:51           -14.68522    8897.30153
2009:16:22:36:51           -14.34609    8921.57932
2009:16:22:36:51           -14.34052    9291.63813
2009:16:22:36:51           -14.23964    9883.76225
2009:16:22:36:52           -14.15618   10195.26377
2009:16:22:36:52           -14.10891   11137.26596
2009:16:22:36:52           -14.09622   11183.37051
2009:16:22:36:52           -13.92267   11995.54227
2009:16:22:36:53           -13.79190   12715.26287
2009:16:22:36:53           -13.78157   12898.09915
2009:16:22:36:53           -13.68213   13881.95733
2009:16:22:36:53           -13.58896   14316.46776
2009:16:22:36:54           -13.39645   14336.45427
2009:16:22:36:54           -13.27822   14398.36271
2009:16:22:36:54           -13.11471   14533.82802
2009:16:22:36:54           -12.75984   14693.47955
2009:16:22:36:55           -12.75632   14766.44344
2009:16:22:36:55           -12.69978   15308.06929
2009:16:22:36:55           -12.68362   15502.39722
2009:16:22:36:55           -12.62348   15737.67813
2009:16:22:36:56           -12.46087   15784.41408
2009:16:22:36:56           -12.37238   16063.17886
2009:16:22:36:56           -12.23227   16173.10004
2009:16:22:36:56           -12.13109   16382.71663
2009:16:22:36:57           -11.80854   16863.50365
2009:16:22:36:57           -11.65353   17267.97638
2009:16:22:36:57           -11.28879   18004.19857
2009:16:22:36:57           -11.17100   18059.97498
2009:16:22:36:58           -11.15670   18289.49945
2009:16:22:36:58           -11.12129   18958.83879
2009:16:22:36:58           -10.78904   19375.20234
2009:16:22:36:58           -10.78548   20925.07463
2009:16:22:36:59           -10.78433   21342.65877
2009:16:22:36:59           -10.74461   21547.63787
2009:16:22:36:59           -10.59299   22179.70656
2009:16:22:36:59           -10.47517   22307.66937
2009:16:22:37:00           -10.34068   22721.92496
2009:16:22:37:00           -10.27682   22855.37544
2009:16:22:37:00           -10.24821   23246.65676
2009:16:22:37:00           -10.24319   23281.60198
2009:16:22:37:01           -10.07468   23326.12951
2009:16:22:37:01           -10.07018   23466.62997
2009:16:22:37:01           -10.02429   23581.36324
2009:16:22:37:01            -9.99400   23681.34551
2009:16:22:37:02            -9.69587   23823.99979
2009:16:22:37:02            -9.69219   23975.38865
2009:16:22:37:02            -9.66179   24039.01552
2009:16:22:37:02            -9.63994   24244.85054
2009:16:22:37:03            -9.52843   24983.64225
2009:16:22:37:03            -9.51182   26682.62007
2009:16:22:37:03            -9.31632   27207.73607
2009:16:22:37:03            -9.18619   27248.09694
2009:16:22:37:04            -9.04650   27509.16912
2009:16:22:37:04            -9.03386   27792.72288
2009:16:22:37:04            -8.66834   28210.62906
2009:16:22:37:04            -8.58181   28247.04665
2009:16:22:37:05            -8.54611   28357.60471
2009:16:22:37:05            -8.38619   28498.46092
2009:16:22:37:05            -8.25398   28648.71381
2009:16:22:37:05            -8.19827   29101.13586
2009:16:22:37:06            -7.53788   29282.36088
2009:16:22:37:06            -7.51670   29367.35268
2009:16:22:37:06            -7.37105   29820.18016
2009:16:22:37:06            -7.27535   30010.93068
2009:16:22:37:07            -7.06115   30167.38039
2009:16:22:37:07            -6.82052   30307.47553
